1, 3 0 0 0;
2, 3 0 0 0;
3, 3 0 0 0;
4, 3 0 0 0;
5, 3 0 0 0;
6, 3 0 0 0;
7, 3 0 0 0;
8, 3 1 0 0;
9, 4 0 0 0 0;
10, 4 0 0 0 0;
11, 4 0 0 0 0;
12, 4 0 0 0 0;
13, 2 0 0;
14, 4 0 0 0 0;
15, 4 0 0 0 0;
16, 4 0 0 0 0;
17, 4 0 0 0 0;
18, 3 0 0 0;
19, 3 0 0 0;
20, 3 0 0 0;
21, 3 0 0 0;
22, 3 0 0 0;
23, 4 0 0 0 0;
24, 4 0 0 0 0;
25, 4 0 0 0 0;
26, 4 0 0 0 0;
27, 4 0 0 0 0;
28, 4 0 0 0 0;
29, 4 0 0 0 0;
30, 3 0 0 0;
31, 4 0 0 0 0;
32, 4 0 0 0 0;
33, 4 0 0 0 0;
34, 4 0 0 0 0;
35, 2 0 0;
36, 5 0 0 0 0 1;
37, 3 0 0 0;
38, 3 0 0 0;
39, 3 0 0 0;
40, 3 0 0 0;
41, 3 0 0 0;
42, 3 0 0 0;
43, 4 0 0 0 0;
44, 4 0 0 0 0;
45, 4 0 0 0 0;
46, 5 0 0 0 0 0;
47, 4 0 0 0 0;
48, 4 0 0 0 0;
49, 3 0 0 0;
50, 3 0 0 0;
51, 4 0 0 0 0;
52, 4 0 0 0 0;
53, 4 0 0 0 0;
54, 4 0 0 0 0;
55, 4 0 0 0 0;
56, 3 0 0 0;
57, 3 0 0 0;
58, 3 0 0 0;
59, 3 0 0 0;
60, 4 0 0 0 0;
61, 4 0 0 0 0;
62, 3 0 0 0;
63, 3 0 0 0;
64, 5 0 0 0 0 0;
65, 4 0 0 0 0;
66, 4 0 0 0 0;
67, 4 0 0 0 0;
68, 4 0 0 0 0;
69, 3 0 0 0;
70, 3 0 0 0;
71, 3 0 0 0;
72, 3 0 0 0;
73, 4 0 0 0 0;
74, 2 0 0;
75, 4 0 0 0 0;
76, 2 0 0;
77, 3 0 0 0;
78, 3 0 0 0;
79, 4 0 0 0 0;
80, 4 0 0 0 0;
81, 4 0 0 0 0;
82, 3 0 0 0;
83, 4 0 0 0 0;
84, 4 0 0 0 0;
85, 4 0 0 0 0;
86, 4 0 0 0 0;
87, 4 0 0 0 0;
88, 4 0 0 0 0;
89, 4 0 0 0 0;
90, 4 1 0 0 0;
91, 4 0 0 0 0;
92, 3 0 0 0;
93, 5 0 0 0 0 0;
94, 5 0 0 0 0 0;
95, 5 0 0 0 0 0;
96, 5 0 0 0 0 0;
97, 5 0 0 0 0 0;
98, 4 0 0 0 0;
99, 4 0 0 0 0;
100, 4 0 0 0 0;
101, 4 0 0 0 0;
102, 4 0 0 0 0;
103, 4 0 0 0 0;
104, 4 0 0 0 0;
105, 4 0 0 0 0;
106, 4 0 0 0 0;
107, 4 0 0 0 0;
108, 4 0 0 0 0;
109, 4 0 0 0 0;
110, 3 0 0 0;
111, 3 0 0 0;
112, 3 0 0 0;
113, 3 0 0 0;
114, 3 0 0 0;
115, 3 0 0 0;
116, 3 0 0 0;
117, 3 0 0 0;
118, 3 0 0 0;
119, 3 0 0 0;
120, 3 0 0 0;
121, 4 0 0 0 0;
122, 4 0 0 0 0;
123, 4 0 0 0 0;
124, 4 0 0 0 0;
125, 3 0 0 0;
126, 3 0 0 0;
127, 3 0 0 0;
128, 3 0 0 0;
129, 3 0 0 0;
130, 4 0 0 0 0;
131, 4 0 0 0 0;
132, 4 0 0 0 0;
133, 4 0 0 0 0;
134, 4 0 0 0 0;
135, 3 0 0 0;
136, 3 0 0 0;
137, 3 0 0 0;
138, 3 0 0 0;
139, 3 0 0 0;
140, 5 0 0 0 0 0;
141, 5 0 0 0 0 0;
142, 5 0 0 0 0 0;
143, 5 0 0 0 0 0;
144, 3 0 0 0;
145, 3 0 0 0;
146, 4 0 0 0 0;
147, 4 0 0 0 0;
148, 3 0 0 0;
149, 3 1 0 0;
150, 3 0 0 0;
151, 3 0 0 0;
152, 3 0 0 0;
153, 3 0 0 0;
154, 3 0 0 0;
155, 3 0 0 0;
156, 3 0 0 0;
157, 3 0 0 0;
158, 3 0 0 0;
159, 3 0 0 0;
160, 3 0 0 0;
161, 3 0 0 0;
162, 3 0 0 0;
163, 3 0 0 0;
164, 3 0 0 0;
165, 3 0 0 0;
166, 3 0 0 0;
167, 3 0 0 0;
168, 3 0 0 0;
169, 3 0 0 0;
170, 3 0 0 0;
171, 3 0 0 0;
172, 3 0 0 0;
173, 3 0 0 0;
174, 3 0 0 0;
175, 4 0 0 0 0;
176, 4 0 0 0 0;
177, 4 0 0 0 0;
178, 4 0 0 0 0;
179, 3 0 0 0;
180, 3 0 0 0;
181, 4 0 0 0 0;
182, 4 0 0 0 0;
183, 4 0 0 0 0;
184, 4 0 0 0 0;
185, 4 0 0 0 0;
186, 4 0 0 0 0;
187, 3 0 0 0;
188, 3 0 0 0;
189, 4 0 0 0 0;
190, 4 0 0 0 0;
191, 4 0 0 0 0;
192, 2 0 0;
193, 4 0 0 0 0;
194, 4 0 0 0 0;
195, 4 0 0 0 0;
196, 4 0 0 0 0;
197, 4 0 0 0 0;
198, 4 0 0 0 0;
199, 4 0 0 0 0;
200, 4 0 0 0 0;
201, 4 0 0 0 0;
202, 5 0 0 1 0 0;
203, 3 0 0 0;
204, 3 0 0 0;
205, 3 0 0 0;
206, 3 0 0 0;
