1, 4 2 2 2 2;
2, 4 2 2 2 2;
3, 4 2 2 2 2;
4, 4 2 2 2 2;
5, 4 2 2 2 2;
6, 4 2 2 2 2;
7, 2 2 2;
8, 4 2 2 2 2;
9, 3 2 2 2;
10, 4 2 2 2 2;
11, 4 2 2 2 2;
12, 2 2 2;
13, 3 2 2 2;
14, 4 2 2 2 2;
15, 4 2 2 2 2;
16, 4 2 2 2 2;
17, 4 2 2 2 2;
18, 4 2 2 2 2;
19, 4 2 2 2 2;
20, 3 2 2 2;
21, 4 2 2 2 2;
22, 4 2 2 2 2;
23, 4 2 2 2 2;
24, 4 2 2 2 2;
25, 4 2 2 2 2;
26, 4 2 2 2 2;
27, 4 2 2 2 2;
28, 3 2 2 2;
29, 3 2 2 2;
30, 4 2 2 2 2;
31, 4 2 2 2 2;
32, 4 2 2 2 2;
33, 4 2 2 2 2;
34, 4 2 2 2 2;
35, 4 2 2 2 2;
36, 4 2 2 2 2;
37, 4 2 2 2 2;
38, 4 2 2 2 2;
39, 4 2 2 2 2;
40, 2 2 2;
41, 3 2 2 2;
42, 3 2 2 2;
43, 3 2 2 2;
44, 3 2 2 2;
45, 2 2 2;
46, 4 2 2 2 2;
47, 3 2 2 2;
48, 3 2 2 2;
49, 2 2 2;
50, 3 1 1 1;
51, 3 2 2 2;
52, 3 2 2 1;
53, 3 2 1 2;
54, 3 2 2 2;
55, 3 2 2 2;
56, 3 1 1 2;
57, 3 2 2 2;
58, 3 2 2 2;
59, 3 2 2 1;
60, 3 2 2 2;
61, 3 2 2 2;
62, 4 2 2 2 2;
63, 4 1 1 2 2;
64, 4 2 2 2 2;
65, 4 2 2 2 2;
66, 4 2 2 2 2;
67, 4 2 2 2 2;
68, 4 2 2 2 2;
69, 4 2 2 2 2;
70, 3 2 1 2;
71, 3 2 2 2;
72, 3 2 2 2;
73, 3 2 2 2;
74, 3 2 2 2;
75, 3 2 2 2;
76, 3 2 2 2;
77, 3 1 2 2;
78, 3 2 2 2;
79, 3 2 2 1;
80, 3 2 2 2;
81, 3 2 2 2;
82, 3 2 2 2;
83, 3 2 2 2;
84, 3 2 2 2;
85, 3 2 2 2;
86, 3 1 1 2;
87, 3 1 1 2;
88, 3 1 1 2;
89, 3 1 1 2;
90, 3 1 1 2;
91, 3 1 1 2;
92, 3 1 1 2;
93, 3 1 1 1;
94, 4 1 1 1 1;
95, 3 1 1 1;
96, 3 1 1 1;
97, 3 1 1 1;
98, 3 1 1 1;
99, 3 1 2 2;
100, 3 2 2 2;
101, 3 2 2 2;
102, 3 2 2 2;
103, 3 2 2 2;
104, 3 2 2 2;
105, 3 2 2 2;
106, 3 2 2 2;
107, 3 2 2 2;
108, 3 2 2 2;
109, 3 2 2 2;
110, 3 2 2 2;
111, 3 2 2 2;
112, 3 2 2 2;
113, 3 2 2 2;
114, 3 2 2 2;
115, 3 2 2 2;
116, 3 2 2 2;
117, 3 2 2 2;
118, 3 2 2 2;
119, 3 2 2 2;
120, 3 2 2 2;
121, 3 2 2 2;
122, 3 2 2 2;
123, 3 2 2 2;
124, 3 2 2 2;
125, 3 2 2 2;
126, 3 2 2 2;
127, 3 2 2 2;
128, 3 2 2 2;
129, 3 2 2 2;
130, 3 2 2 2;
131, 3 2 2 2;
132, 3 2 2 2;
133, 3 2 2 2;
134, 3 2 2 2;
